gene_ID	CV.TPM	CV.logTPM	rank
Crpow_TRINITY_DN102500_c0_g1	2.431642665769203	2.228438310581294	37430
Crpow_TRINITY_DN10256_c0_g1	1.1059644659913017	0.8430688048829584	31328
Crpow_TRINITY_DN1025_c0_g2	1.3003061844896766	0.8271836385751998	31142
Crpow_TRINITY_DN102640_c0_g1	2.79969441349739	2.7619003141463865	38243
Crpow_TRINITY_DN10264_c0_g1	1.0423008755589576	0.8587647944745973	31525
Crpow_TRINITY_DN10265_c0_g1	1.1020585297106982	0.9613112224077524	32620
Crpow_TRINITY_DN102669_c0_g2	2.4241708925531382	2.1519629015704718	37309
Crpow_TRINITY_DN10273_c0_g2	1.1226360183441988	0.9376019919299782	32387
Crpow_TRINITY_DN102740_c2_g1	1.1943086221227088	0.984148821103394	32859
Crpow_TRINITY_DN102784_c0_g1	2.82842712474619	2.82842712474619	38397
Crpow_TRINITY_DN102790_c0_g1	2.1939441764432566	1.8352425855627443	36708
Crpow_TRINITY_DN102790_c0_g2	2.6335375220468538	2.3065020766042665	37555
Crpow_TRINITY_DN102790_c0_g3	2.129962303441381	1.9542039621422773	36940
Crpow_TRINITY_DN102790_c1_g1	1.993562858175298	1.9357769399896843	36892
Crpow_TRINITY_DN1027_c0_g1	2.186805081337014	0.9394892604439027	32408
Crpow_TRINITY_DN102810_c0_g1	2.3147783118377454	2.074315925853086	37187
Crpow_TRINITY_DN102827_c0_g1	1.7527039915665947	1.575364286168745	36134
Crpow_TRINITY_DN102855_c0_g4	2.8284271247461903	2.8284271247461903	38689
Crpow_TRINITY_DN102864_c0_g1	2.1790492012836697	1.8322423014870017	36701
Crpow_TRINITY_DN10286_c0_g4	2.173271297263323	1.2732481708382992	35020
Crpow_TRINITY_DN10289_c0_g2	2.756587174055565	1.99636133509935	37026
Crpow_TRINITY_DN10292_c1_g2	1.3085543827480846	1.0165539073590577	33214
Crpow_TRINITY_DN10293_c0_g2	2.24903972673801	2.0615332305319565	37159
Crpow_TRINITY_DN102984_c3_g1	0.9594847337183082	0.8978865298389584	31970
Crpow_TRINITY_DN103008_c0_g1	2.2845442908207083	2.117924821924988	37260
Crpow_TRINITY_DN103023_c1_g1	1.0442855175090984	0.8463226603607595	31361
Crpow_TRINITY_DN103039_c0_g1	1.3367154220032151	1.2229722598353026	34706
Crpow_TRINITY_DN103111_c0_g1	2.358992409344638	2.0727475362715793	37183
Crpow_TRINITY_DN103289_c0_g1	1.389955910310286	1.1670042111238357	34386
Crpow_TRINITY_DN10328_c0_g1	1.657135278570244	1.3051603060283061	35195
Crpow_TRINITY_DN103373_c0_g1	0.9537784639226513	0.8351039938944796	31236
Crpow_TRINITY_DN103385_c1_g2	1.9759053782284095	1.7380561812767075	36509
